locality;lat_deg;lat_min;lat_sec;lat_sph;lon_deg;lon_min;lon_sec;lon_sph;locality2
AFNCBI;NA;NA;NA;NA;NA;NA;NA;NA;unknown
FynBogense,;55;36;28.01;N;10;2;44.35;E;FB
FynKerteminde;55;27;0.94;N;10;44;47.59;E;FK
GUNCBI;NA;NA;NA;NA;NA;NA;NA;NA;Eurasia
HMNCBI;39;51;40.41;N;12;19;14.46;E;Mediterranean
JQNCBI;39;51;40.41;N;12;19;14.46;E;Mediterranean
JyllandMariagerfjord;56;42;53.55;N;10;24;23.27;E;JMF
NGermanyKielFjord;54;28;19.22;N;10;15;37.01;E;NGKF
NGermanyMecklenburgerBuchtWismarBucht;53;57;1.44;N;11;20;35.16;E;NGMB
NJyllandLimfjord;56;58;29.87;N;9;12;46.65;E;NJLIMF
NJyllandLimfjordLogstoer;56;58;29.87;N;9;12;46.65;E;NJLIMF
NWGermanyNSeaHelgolandRds;54;11;52.52;N;7;53;28.41;E;HELGO
NWGermanyWaddenSeaBussumHaupstr;54;8;5.10;N;8;50;25.66;E;WADSEA
SamsoeBallen;55;49;0.47;N;10;39;8.93;E;KATG
SEDenmarkMecklenburgerBucht;54;11;0.97;N;11;21;15.77;E;NGMB
SjaellandSkovshoved;55;45;40.55;N;12;36;44.94;E;OERES